,outer_fold,inner_fold,class_0,class_1,params,accuracy,f1_binary,mcc,kappa,class_0_label,class_1_label
0,0,0,0,1,"{'class_weight': True, 'n_genes': 1000}",0.8290598290598291,0.8591549295774648,0.6438524644616079,0.6422018348623852,AML with MDS-related cytogenetic abnormalities,AML with MDS-related gene mutations
1,0,0,0,2,"{'class_weight': True, 'n_genes': 1000}",0.975,0.9855072463768116,0.8945981554677207,0.8945981554677207,AML with MDS-related cytogenetic abnormalities,AML with in-frame bZIP CEBPA
2,0,0,0,3,"{'class_weight': True, 'n_genes': 1000}",0.9632352941176471,0.9645390070921985,0.9273113748599618,0.9264069264069263,AML with MDS-related cytogenetic abnormalities,AML with inv(16)/t(16;16)/CBFB::MYH11
3,0,0,0,4,"{'class_weight': True, 'n_genes': 1000}",0.9324324324324325,0.965034965034965,0.0,0.0,AML with MDS-related cytogenetic abnormalities,AML with inv(3)/t(3;3)/GATA2;MECOM
4,0,0,0,5,"{'class_weight': True, 'n_genes': 1000}",0.959731543624161,0.9565217391304348,0.9190217391304348,0.9190217391304347,AML with MDS-related cytogenetic abnormalities,AML with mutated NPM1
5,0,0,0,6,"{'class_weight': True, 'n_genes': 1000}",0.7888888888888889,0.8689655172413793,0.3430872606850959,0.33255269320843095,AML with MDS-related cytogenetic abnormalities,AML with mutated TP53
6,0,0,0,7,"{'class_weight': True, 'n_genes': 1000}",0.974025974025974,0.9857142857142858,0.8537407331483134,0.8431771894093687,AML with MDS-related cytogenetic abnormalities,AML with t(6;9)/DEK::NUP214
7,0,0,0,8,"{'class_weight': True, 'n_genes': 1000}",0.946969696969697,0.9496402877697842,0.8937495706973488,0.893646408839779,AML with MDS-related cytogenetic abnormalities,AML with t(8;21)/RUNX1::RUNX1T1
8,0,0,0,9,"{'class_weight': True, 'n_genes': 1000}",0.8867924528301887,0.9090909090909091,0.765444778715379,0.7599093997734995,AML with MDS-related cytogenetic abnormalities,AML with t(9;11)/MLLT3::KMT2A
9,0,0,0,10,"{'class_weight': True, 'n_genes': 1000}",0.9642857142857143,0.9787234042553191,0.8755950357709131,0.8679245283018868,AML with MDS-related cytogenetic abnormalities,"APL, t(15;17)/PML::RARA"
10,0,0,0,11,"{'class_weight': True, 'n_genes': 1000}",0.8987341772151899,0.9436619718309859,0.46567011209537734,0.4475524475524475,AML with MDS-related cytogenetic abnormalities,KMT2A::ELL
11,0,0,0,12,"{'class_weight': True, 'n_genes': 1000}",0.8831168831168831,0.9343065693430657,0.40603806834920586,0.40515021459227474,AML with MDS-related cytogenetic abnormalities,KMT2A::MLLT1
12,0,0,0,13,"{'class_weight': True, 'n_genes': 1000}",0.8571428571428571,0.9076923076923077,0.6198999358441443,0.5971223021582734,AML with MDS-related cytogenetic abnormalities,KMT2A::MLLT10
13,0,0,0,14,"{'class_weight': True, 'n_genes': 1000}",0.9466666666666667,0.9714285714285714,0.5861877208630617,0.5726495726495726,AML with MDS-related cytogenetic abnormalities,KMT2A::MLLT4 (::AFDN)
14,0,0,0,15,"{'class_weight': True, 'n_genes': 1000}",0.9726027397260274,0.9857142857142858,0.697076389614328,0.6540284360189573,AML with MDS-related cytogenetic abnormalities,NUP98::KDM5A
15,0,0,0,16,"{'class_weight': True, 'n_genes': 1000}",0.9382716049382716,0.9640287769784173,0.7476766196014079,0.7467166979362101,AML with MDS-related cytogenetic abnormalities,NUP98::NSD1
16,0,0,1,2,"{'class_weight': True, 'n_genes': 1000}",0.9491525423728814,0.9696969696969697,0.8273403039920306,0.8126984126984127,AML with MDS-related gene mutations,AML with in-frame bZIP CEBPA
17,0,0,1,3,"{'class_weight': True, 'n_genes': 1000}",0.991304347826087,0.9896907216494846,0.9823294065903181,0.982173306464114,AML with MDS-related gene mutations,AML with inv(16)/t(16;16)/CBFB::MYH11
18,0,0,1,4,"{'class_weight': True, 'n_genes': 1000}",0.9056603773584906,0.9504950495049505,0.0,0.0,AML with MDS-related gene mutations,AML with inv(3)/t(3;3)/GATA2;MECOM
19,0,0,1,5,"{'class_weight': True, 'n_genes': 1000}",0.953125,0.9361702127659575,0.8996680586556846,0.8991596638655462,AML with MDS-related gene mutations,AML with mutated NPM1
20,0,0,1,6,"{'class_weight': True, 'n_genes': 1000}",0.855072463768116,0.8979591836734694,0.6499276998540637,0.6483180428134556,AML with MDS-related gene mutations,AML with mutated TP53
21,0,0,1,7,"{'class_weight': True, 'n_genes': 1000}",0.9464285714285714,0.968421052631579,0.7939884455672181,0.7920792079207921,AML with MDS-related gene mutations,AML with t(6;9)/DEK::NUP214
22,0,0,1,8,"{'class_weight': True, 'n_genes': 1000}",0.963963963963964,0.9591836734693877,0.9275685901653625,0.926949654491609,AML with MDS-related gene mutations,AML with t(8;21)/RUNX1::RUNX1T1
23,0,0,1,9,"{'class_weight': True, 'n_genes': 1000}",0.9764705882352941,0.9791666666666666,0.9521396396396397,0.9521396396396397,AML with MDS-related gene mutations,AML with t(9;11)/MLLT3::KMT2A
24,0,0,1,10,"{'class_weight': True, 'n_genes': 1000}",0.9523809523809523,0.9690721649484536,0.8665407417674355,0.8656716417910448,AML with MDS-related gene mutations,"APL, t(15;17)/PML::RARA"
25,0,0,1,11,"{'class_weight': True, 'n_genes': 1000}",0.9310344827586207,0.9591836734693877,0.7439898072778506,0.7375565610859729,AML with MDS-related gene mutations,KMT2A::ELL
26,0,0,1,12,"{'class_weight': True, 'n_genes': 1000}",0.9107142857142857,0.9484536082474226,0.6172133998483676,0.6153846153846154,AML with MDS-related gene mutations,KMT2A::MLLT1
