"outer_fold","class","params","mean_kappa","sd_kappa","mean_mcc","sd_mcc","mean_accuracy","sd_accuracy"
0,0,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 5000}",0.544999276876651,0.0738567812080464,0.558118819594087,0.0675252123206846,0.917800347669328,0.0100162206248642
0,1,"{'C': 1000, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 3000}",0.554991166883137,0.0846092339055745,0.575884959915707,0.0772217837733887,0.958055949008499,0.00702002226270791
0,2,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.001, 'probability': True, 'n_genes': 1000}",0.922360007453448,0.0356839716707401,0.922621301677836,0.0357471544602177,0.991494978109709,0.00401198323459379
0,3,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.943179853010554,0.0222355868145045,0.943996896393175,0.0217070831788875,0.987524143703322,0.00476218321049553
0,4,"{'C': 100, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.696464237466578,0.13916355631502,0.717893231027115,0.141493047387177,0.996597347411795,0.00127409229982449
0,5,"{'C': 100, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.883149538325404,0.0331512615994385,0.884254523227077,0.031794224922213,0.963723280968323,0.00946378694772994
0,6,"{'C': 0.1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 5000}",0.59653055254675,0.113292048112961,0.617868535978847,0.0961173664324542,0.977325843420036,0.00529232448951348
0,7,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.959027249044027,0.0565566230974745,0.960940649373598,0.0538789745980135,0.998866855524079,0.00155162197593528
0,8,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.95900857021546,0.0212513488496664,0.959783900959632,0.0206255988751404,0.990933234612413,0.00465217275197445
0,9,"{'C': 1000, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.810264324787829,0.0771369189822065,0.812540371228092,0.0759740588606709,0.976756052021633,0.00927101510820724
0,10,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.842248529514126,0.0914848077640309,0.854911837747209,0.0792747875049511,0.990931625032192,0.00465193189081377
0,11,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1e-05, 'probability': True, 'n_genes': 1000}",0.638050032151378,0.252358286189283,0.674183094656277,0.23365655238736,0.995464202935874,0.00323137811568731
0,12,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.732510768150579,0.435863778550125,0.74065053018389,0.43467563278938,0.998297064125676,0.00254008894586522
0,13,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",1,0,1,0,1,0
0,14,"{'C': 0.1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.759158001866929,0.434803132358993,0.762498348338561,0.435246121781485,0.998300283286119,0.002533788076487
0,15,"{'C': 100, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.848230064907115,0.0931912330973382,0.850726700792135,0.0947333393373265,0.994332668040175,0.00400484939813707
0,16,"{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.548673202935701,0.354214811870618,0.580494366348187,0.354970174111275,0.993197913984033,0.00322855473194702
0,17,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 5000}",0.644965398513296,0.179015587435397,0.653429494073936,0.17534758103963,0.9835581380376,0.0078669993140217
0,18,"{'C': 10, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.893992216108454,0.0842553605734332,0.898675254366038,0.0797071739811444,0.996030775173835,0.00323208357625298
0,19,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0.231654848036456,0.324660796112187,0.239660782825486,0.338591455627571,0.99376126706155,0.00311647319848001
