"outer_fold","class","params","mean_kappa","sd_kappa","mean_mcc","sd_mcc","mean_accuracy","sd_accuracy"
"AAML0531",0,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.0962877130230512,0.112263789418814,0.142632288561441,0.171532625052567,0.91089826028486,0.0832491114098284
"AAML0531",1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 3000}",0.408277256166605,0.0519170545346606,0.457933654627287,0.0910056094966914,0.87957964970809,0.00540149766925072
"AAML0531",2,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.734034608215697,0.193020739981591,0.743332197183258,0.188668397642661,0.977058487158803,0.0155684305692988
"AAML0531",3,"{'C': 0.1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.890397574986917,0.169695398240855,0.895921007317965,0.16013609478591,0.976473230985188,0.0362521036569234
"AAML0531",4,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.758015074147704,0.186929647881112,0.777636829730777,0.168602445279017,0.996604956982157,0.00334701653383035
"AAML0531",5,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'probability': True, 'n_genes': 2000}",0.825012132106739,0.205300200793106,0.827416733700691,0.203209793409476,0.929622715756194,0.0962678876796483
"AAML0531",6,"{'C': 10, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 3000}",0.492767182413367,0.353266448602961,0.528225050288609,0.315538676525924,0.935557038272634,0.0437489744070535
"AAML0531",7,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.724589025237323,0.389489935735771,0.7690904578942,0.326555406127383,0.992433795712484,0.0107002287190903
"AAML0531",8,"{'C': 100, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 1000}",0.906423714682505,0.170691030751092,0.917351557971429,0.148918441454636,0.989698662995399,0.0159621350069288
"AAML0531",9,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 5000}",0.553335927944665,0.337380472042709,0.5879968523633,0.305094717096601,0.958862161651453,0.0439897945764151
"AAML0531",10,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.858534621875313,0.212366851351981,0.875945335247651,0.182940775883073,0.979126123621537,0.0298352470529082
"AAML0531",14,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 1000}",0.55510064824292,0.509026761880326,0.568673809539548,0.513953574119319,0.997299253277596,0.00254098517013008
"AAML0531",15,"{'C': 1, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 5000}",0.707886418786377,0.255676670856394,0.72577265145771,0.250751589114036,0.993887170231884,0.005797500793246
"AAML0531",16,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0,0,0,0,0.986352987631676,0.0079898080942119
"AAML0531",17,"{'C': 1, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 5000}",0.248741042665239,0.299458878842303,0.285890197104543,0.34258727633717,0.982649750159601,0.01125546402476
"AAML0531",18,"{'C': 10, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 2000}",0.722714460143822,0.190218031428934,0.740942455611344,0.182258284778925,0.992659897504611,0.00532517200358238
"AAML0531",20,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'probability': True, 'n_genes': 2000}",0.461571273554925,0.105622740857239,0.524302519754727,0.109516667742448,0.989045066979944,0.00290930090262157
"AAML0531",21,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0,0,0,0,0.993690053116283,0.0017901266480801
"AAML0531",22,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'probability': True, 'n_genes': 1000}",0,0,0,0,0.992796294796596,0.00586276548064321
"AAML1031",0,"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.0679885801391982,0.10153884908492,0.116717907845401,0.164215874301876,0.939717721734145,0.0384943491631264
"AAML1031",1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'probability': True, 'n_genes': 1000}",0.390825482738008,0.139507971934683,0.430320674769908,0.145228338689876,0.903309158034689,0.0458281035504481
"AAML1031",2,"{'C': 100, 'class_weight': None, 'gamma': 1e-05, 'probability': True, 'n_genes': 1000}",0.708801432215694,0.177801403322341,0.719604477553314,0.174189198743941,0.976569326626535,0.0141496112522793
"AAML1031",3,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 2000}",0.905802520949322,0.175872059143225,0.91081836818844,0.165969308661421,0.97959151336534,0.0374424937055176
"AAML1031",4,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 3000}",0.84166486317724,0.205603371927709,0.861286618760313,0.177143696676031,0.997235474006116,0.00377631142967788
"AAML1031",5,"{'C': 1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.805836559708439,0.201609754347294,0.811576221408942,0.199043531703667,0.925469049481361,0.0938569434556343
"AAML1031",6,"{'C': 0.1, 'class_weight': None, 'gamma': 0.0001, 'probability': True, 'n_genes': 5000}",0.360973439926452,0.384228420828589,0.387616411809367,0.371520675122986,0.948842217391868,0.0462819732264742
